code,name,brief,description
E1306,too-few-format-args,Not enough arguments for format string,Used when a format string that uses unnamed conversion specifiers is given too few arguments
E1310,bad-str-strip-call,Suspicious argument in %s.%s call,"The argument to a str.{l,r,}strip call contains a duplicate character,"
E1601,print-statement,print statement used,Used when a print statement is used (`print` is a function in Python 3)
E1602,parameter-unpacking,Parameter unpacking specified,Used when parameter unpacking is specified for a function(Python 3 doesn't allow it)
E1603,unpacking-in-except,Implicit unpacking of exceptions is not supported in Python 3,Python3 will not allow implicit unpacking of exceptions in except clauses. See http://www.python.org/dev/peps/pep-3110/
E1604,old-raise-syntax,"Use raise ErrorClass(args) instead of raise ErrorClass, args.","Used when the alternate raise syntax 'raise foo, bar' is used instead of 'raise foo(bar)'."
E1605,backtick,Use of the `` operator,"Used when the deprecated ""``"" (backtick) operator is used instead of the str() function."
E1606,long-suffix,Use of long suffix,"Used when ""l"" or ""L"" is used to mark a long integer. This will not work in Python 3, since `int` and `long` types have merged. This message can't be emitted when using Python >= 3.0."
E1607,old-ne-operator,Use of the <> operator,"Used when the deprecated ""<>"" operator is used instead of ""!="". This is removed in Python 3. This message can't be emitted when using Python >= 3.0."
E1608,old-octal-literal,Use of old octal literal,"Used when encountering the old octal syntax, removed in Python 3. To use the new syntax, prepend 0o on the number. This message can't be emitted when using Python >= 3.0."
E1609,import-star-module-level,Import * only allowed at module level,Used when the import star syntax is used somewhere else than the module level. This message can't be emitted when using Python >= 3.0.
E1610,non-ascii-bytes-literal,Non-ascii bytes literals not supported in 3.x,Used when non-ascii bytes literals are found in a program. They are no longer supported in Python 3. This message can't be emitted when using Python >= 3.0.
E1611,invalid-unicode-literal,unicode raw string literals not supported in 3.x,Used when raw unicode literals are found in a program. They are no longer supported in Python 3. This message can't be emitted when using Python >= 3.0.
F0001,fatal,,Used when an error occurred preventing the analysis of a module (unable to find it for instance).
F0002,astroid-error,%s: %s,Used when an unexpected error occurred while building the Astroid representation. This is usually accompanied by a traceback. Please report such errors !
F0010,parse-error,error while code parsing: %s,Used when an exception occurred while building the Astroid representation which could be handled by astroid.
F0202,method-check-failed,Unable to check methods signature (%s / %s),Used when Pylint has been unable to check methods signature compatibility for an unexpected reason. Please report this kind if you don't make sense of it.
I0001,raw-checker-failed,Unable to run raw checkers on built-in module %s,Used to inform that a built-in module has not been checked using the raw checkers.
I0010,bad-inline-option,Unable to consider inline option %r,Used when an inline option is either badly formatted or can't be used inside modules.
I0011,locally-disabled,Locally disabling %s (%s),Used when an inline option disables a message or a messages category.
I0012,locally-enabled,Locally enabling %s (%s),Used when an inline option enables a message or a messages category.
I0013,file-ignored,Ignoring entire file,Used to inform that the file will not be checked
I0020,suppressed-message,Suppressed %s (from line %d),"A message was triggered on a line, but suppressed explicitly by a disable= comment in the file. This message is not generated for messages that are ignored due to configuration settings."
I0021,useless-suppression,Useless suppression of %s,"Reported when a message is explicitly disabled for a line or a block of code, but never triggered."
I0022,deprecated-pragma,"Pragma ""%s"" is deprecated, use ""%s"" instead","Some inline pylint options have been renamed or reworked, only the most recent form should be used. NOTE:skip-all is only available with pylint >= 0.26"
I1101,c-extension-no-member,"%s %r has not %r member%s, but source is unavailable. Consider adding this module to extension-pkg-whitelist if you want to perform analysis based on run-time introspection of living objects.","Used when a variable is accessed for non-existent member of C extension. Due to unavailability of source static analysis is impossible, but it may be performed by introspecting living objects in run-time."
R0123,literal-comparison,Comparison to literal,"Used when comparing an object to a literal, which is usually what you do not want to do, since you can compare to a different literal than what was expected altogether."
R0201,no-self-use,Method could be a function,"Used when a method doesn't use its bound instance, and so could be written as a function."
R0202,no-classmethod-decorator,Consider using a decorator instead of calling classmethod,Used when a class method is defined without using the decorator syntax.
R0203,no-staticmethod-decorator,Consider using a decorator instead of calling staticmethod,Used when a static method is defined without using the decorator syntax.
R0401,cyclic-import,Cyclic import (%s),Used when a cyclic import between two or more modules is detected.
R0801,duplicate-code,Similar lines in %s files,Indicates that a set of similar lines has been detected among multiple file. This usually means that the code should be refactored to avoid this duplication.
R0901,too-many-ancestors,Too many ancestors (%s/%s),"Used when class has too many parent classes, try to reduce this to get a simpler (and so easier to use) class."
R0902,too-many-instance-attributes,Too many instance attributes (%s/%s),"Used when class has too many instance attributes, try to reduce this to get a simpler (and so easier to use) class."
R0903,too-few-public-methods,Too few public methods (%s/%s),"Used when class has too few public methods, so be sure it's really worth it."
R0904,too-many-public-methods,Too many public methods (%s/%s),"Used when class has too many public methods, try to reduce this to get a simpler (and so easier to use) class."
R0911,too-many-return-statements,Too many return statements (%s/%s),"Used when a function or method has too many return statement, making it hard to follow."
R0912,too-many-branches,Too many branches (%s/%s),"Used when a function or method has too many branches, making it hard to follow."
R0913,too-many-arguments,Too many arguments (%s/%s),Used when a function or method takes too many arguments.
R0914,too-many-locals,Too many local variables (%s/%s),Used when a function or method has too many local variables.
R0915,too-many-statements,Too many statements (%s/%s),Used when a function or method has too many statements. You should then split it in smaller functions / methods.
R0916,too-many-boolean-expressions,Too many boolean expressions in if statement (%s/%s),Used when a if statement contains too many boolean expressions
R1701,consider-merging-isinstance,"Consider merging these isinstance calls to isinstance(%s, (%s))",Used when multiple consecutive isinstance calls can be merged into one.
R1702,too-many-nested-blocks,Too many nested blocks (%s/%s),Used when a function or a method has too many nested blocks. This makes the code less understandable and maintainable.
R1703,simplifiable-if-statement,The if statement can be replaced with %s,Used when an if statement can be replaced with 'bool(test)'.
R1704,redefined-argument-from-local,Redefining argument with the local name %r,"Used when a local name is redefining an argument, which might suggest a potential error. This is taken in account only for a handful of name binding operations, such as for iteration, with statement assignment and exception handler assignment."
R1705,no-else-return,"Unnecessary ""else"" after ""return""","Used in order to highlight an unnecessary block of code following an if containing a return statement. As such, it will warn when it encounters an else following a chain of ifs, all of them containing a return statement."
R1706,consider-using-ternary,Consider using ternary (%s),Used when one of known pre-python 2.5 ternary syntax is used.
R1709,simplify-boolean-expression,Boolean expression may be simplified to %s,Emitted when redundant pre-python 2.5 ternary syntax is used.
R1710,inconsistent-return-statements,"Either all return statements in a function should return an expression, or none of them should.","According to PEP8, if any return statement returns an expression, any return statements where no value is returned should explicitly state this as return None, and an explicit return statement should be present at the end of the function (if reachable)"
W0101,unreachable,Unreachable code,"Used when there is some code behind a ""return"" or ""raise"" statement, which will never be accessed."
W0102,dangerous-default-value,Dangerous default value %s as argument,Used when a mutable value as list or dictionary is detected in a default value for an argument.
W0104,pointless-statement,Statement seems to have no effect,Used when a statement doesn't have (or at least seems to) any effect.
W0105,pointless-string-statement,String statement has no effect,"Used when a string is used as a statement (which of course has no effect). This is a particular case of W0104 with its own message so you can easily disable it if you're using those strings as documentation, instead of comments."
W0106,expression-not-assigned,"Expression ""%s"" is assigned to nothing",Used when an expression that is not a function call is assigned to nothing. Probably something else was intended.
W0107,unnecessary-pass,Unnecessary pass statement,"Used when a ""pass"" statement that can be avoided is encountered."
W0108,unnecessary-lambda,Lambda may not be necessary,Used when the body of a lambda expression is a function call on the same argument list as the lambda itself; such lambda expressions are in all but a few cases replaceable with the function being called in the body of the lambda.
W0109,duplicate-key,Duplicate key %r in dictionary,Used when a dictionary expression binds the same key multiple times.
W0110,deprecated-lambda,map/filter on lambda could be replaced by comprehension,"Used when a lambda is the first argument to ""map"" or ""filter"". It could be clearer as a list comprehension or generator expression. This message can't be emitted when using Python >= 3.0."
W0111,assign-to-new-keyword,Name %s will become a keyword in Python %s,Used when assignment will become invalid in future Python release due to introducing new keyword
W0120,useless-else-on-loop,Else clause on loop without a break statement,"Loops should only have an else clause if they can exit early with a break statement, otherwise the statements under else should be on the same scope as the loop itself."
W0122,exec-used,Use of exec,"Used when you use the ""exec"" statement (function for Python 3), to discourage its usage. That doesn't mean you cannot use it !"
W0123,eval-used,Use of eval,"Used when you use the ""eval"" function, to discourage its usage. Consider using `ast.literal_eval` for safely evaluating strings containing Python expressions from untrusted sources."
W0124,confusing-with-statement,"Following ""as"" with another context manager looks like a tuple.","Emitted when a `with` statement component returns multiple values and uses name binding with `as` only for a part of those values, as in with ctx() as a, b. This can be misleading, since it's not clear if the context manager returns a tuple or if the node without a name binding is another context manager."
W0125,using-constant-test,Using a conditional statement with a constant value,Emitted when a conditional statement (If or ternary if) uses a constant value for its test. This might not be what the user intended to do.
W0150,lost-exception,%s statement in finally block may swallow exception,Used when a break or a return statement is found inside the finally clause of a try...finally block: the exceptions raised in the try clause will be silently swallowed instead of being re-raised.
W0199,assert-on-tuple,"Assert called on a 2-uple. Did you mean 'assert x,y'?","A call of assert on a tuple will always evaluate to true if the tuple is not empty, and will always evaluate to false if it is."
W0201,attribute-defined-outside-init,Attribute %r defined outside __init__,Used when an instance attribute is defined outside the __init__ method.
W0211,bad-staticmethod-argument,Static method with %r as first argument,"Used when a static method has ""self"" or a value specified in valid- classmethod-first-arg option or valid-metaclass-classmethod-first-arg option as first argument."
W0212,protected-access,Access to a protected member %s of a client class,Used when a protected member (i.e. class member with a name beginning with an underscore) is access outside the class or a descendant of the class where it's defined.
W0221,arguments-differ,Parameters differ from %s %r method,Used when a method has a different number of arguments than in the implemented interface or in an overridden method.
W0222,signature-differs,Signature differs from %s %r method,Used when a method signature is different than in the implemented interface or in an overridden method.
W0223,abstract-method,Method %r is abstract in class %r but is not overridden,Used when an abstract method (i.e. raise NotImplementedError) is not overridden in concrete class.
W0231,super-init-not-called,__init__ method from base class %r is not called,Used when an ancestor class method has an __init__ method which is not called by a derived class.
W0232,no-init,Class has no __init__ method,"Used when a class has no __init__ method, neither its parent classes."
W0233,non-parent-init-called,__init__ method from a non direct base class %r is called,Used when an __init__ method is called on a class which is not in the direct ancestors for the analysed class.
W0235,useless-super-delegation,Useless super delegation in method %r,"Used whenever we can detect that an overridden method is useless, relying on super() delegation to do the same thing as another method from the MRO."
W0301,unnecessary-semicolon,Unnecessary semicolon,"Used when a statement is ended by a semi-colon ("";""), which isn't necessary (that's python, not C ;)."
W0311,bad-indentation,"Bad indentation. Found %s %s, expected %s",Used when an unexpected number of indentation's tabulations or spaces has been found.
W0312,mixed-indentation,Found indentation with %ss instead of %ss,Used when there are some mixed tabs and spaces in a module.
W0332,lowercase-l-suffix,"Use of ""l"" as long integer identifier","Used when a lower case ""l"" is used to mark a long integer. You should use a upper case ""L"" since the letter ""l"" looks too much like the digit ""1"" This message can't be emitted when using Python >= 3.0."
W0401,wildcard-import,Wildcard import %s,Used when `from module import *` is detected.
W0402,deprecated-module,Uses of a deprecated module %r,Used a module marked as deprecated is imported.
W0403,relative-import,"Relative import %r, should be %r",Used when an import relative to the package directory is detected. This message can't be emitted when using Python >= 3.0.
W0404,reimported,Reimport %r (imported line %s),Used when a module is reimported multiple times.
W0406,import-self,Module import itself,Used when a module is importing itself.
W0410,misplaced-future,__future__ import is not the first non docstring statement,Python 2.5 and greater require __future__ import to be the first non docstring statement in the module.
W0511,fixme,,Used when a warning note as FIXME or XXX is detected.
W0512,invalid-encoded-data,"Cannot decode using encoding ""%s"", unexpected byte at position %d",Used when a source line cannot be decoded using the specified source file encoding. This message can't be emitted when using Python >= 3.0.
W0601,global-variable-undefined,Global variable %r undefined at the module level,"Used when a variable is defined through the ""global"" statement but the variable is not defined in the module scope."
W0602,global-variable-not-assigned,Using global for %r but no assignment is done,"Used when a variable is defined through the ""global"" statement but no assignment to this variable is done."
W0603,global-statement,Using the global statement,"Used when you use the ""global"" statement to update a global variable. Pylint just try to discourage this usage. That doesn't mean you cannot use it !"
W0604,global-at-module-level,Using the global statement at the module level,"Used when you use the ""global"" statement at the module level since it has no effect"
W0611,unused-import,Unused %s,Used when an imported module or variable is not used.
W0612,unused-variable,Unused variable %r,Used when a variable is defined but not used.
W0613,unused-argument,Unused argument %r,Used when a function or method argument is not used.
W0614,unused-wildcard-import,Unused import %s from wildcard import,Used when an imported module or variable is not used from a `'from X import *'` style import.
W0621,redefined-outer-name,Redefining name %r from outer scope (line %s),Used when a variable's name hides a name defined in the outer scope.
W0622,redefined-builtin,Redefining built-in %r,Used when a variable or function override a built-in.
W0623,redefine-in-handler,Redefining name %r from %s in exception handler,Used when an exception handler assigns the exception to an existing name
